SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,814,814,0,0,814,814,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,122,45,73,4,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,192,109,82,1,0,-1,0,1,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,57,14,43,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,417,94,315,8,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,382,104,263,15,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,615,162,433,20,0,-1,0,1,,
0,AP,Andhra Pradesh,AP_Other State,Other State,150,125,25,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,66,3,63,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,157,60,94,3,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,14,10,4,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,76,38,37,1,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,8,8,0,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,72,21,51,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,104,35,69,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,0,0,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,,
